subj_idx,stim,rt,response,rulert
3, XSLP,0.75172,1,0.76859
3, XFNP,0.5681,1,0.96883
3, XFEP,0.50138,1,0.63514
3, XFEP,0.50132,1,0.76865
3, YFNP,0.50139,1,1.1524
3, YSLP,0.65157,0,1.119
3, XSNP,0.58489,0,0.88523
3, XFLP,0.51807,1,1.1524
3, YFEP,0.93522,1,0.83531
3, XSNP,0.90192,1,1.0689
3, XFEP,0.5516,1,1.2358
3, XFLP,0.50137,1,1.1023
3, YSEP,0.6515,0,1.5863
3, XSNP,0.85184,1,1.2526
3, XSLP,1.1523,1,1.3528
3, YFEP,0.61811,1,1.2358
3, YFLP,0.50143,1,1.4696
3, XFNP,0.50131,1,0.96879
3, XFNV,0.65166,1,4.4737
3, YSLV,0.80179,0,1.5865
3, XFEV,0.53477,1,1.1357
3, YSNV,0.88519,1,1.1525
3, YSLV,0.73505,1,1.1857
3, YFEV,0.50138,1,1.002
3, XSNV,0.81847,0,0.88544
3, XFEV,0.53479,1,1.0022
3, YSLV,0.90197,1,1.2359
3, XSLV,0.70169,1,1.2024
3, YSEV,0.71841,1,1.2691
3, YFNV,0.50129,1,1.2025
3, YSLV,0.81835,1,1.0021
3, YFEV,0.55141,1,0.98553
3, XFNV,0.5014,1,0.88548
3, XSLV,0.86849,1,1.0021
3, YFEV,0.63489,1,0.98539
3, XSNV,0.81848,1,1.2527
3, YFEV,0.50147,1,1.4362
3, XSLV,0.60154,0,1.3528
3, XSNV,1.2858,1,1.2692
3, XFLV,0.51801,1,1.0689
3, XSEV,0.88513,1,1.2524
3, YFNV,0.50139,1,1.1525
3, YSEV,0.73511,1,1.1858
3, XFNV,0.5347,1,1.2523
3, YFLV,0.5013,1,0.75175
3, XSNV,0.83516,1,1.1523
3, YSEV,0.76846,1,1.2692
3, YSLV,0.735,1,0.80186
3, YFNV,0.53468,1,1.4361
3, YSEV,0.65159,1,1.1524
3, XFLV,0.56827,1,1.0689
3, YSEV,0.685,1,1.7532
3, YFNV,0.5014,1,0.96873
3, YSLV,0.65159,1,1.0355
3, YFEV,0.50133,1,1.6363
3, XSLV,0.81859,1,1.1357
3, YFNV,0.518,1,1.0689
3, XFLV,0.75172,1,2.087
3, YSNV,1.1021,1,1.3693
3, XSEV,0.68499,1,0.95212
3, YSNV,0.88534,1,1.5362
3, YFLV,0.50129,1,1.6531
3, XSEV,1.0188,1,1.3026
3, XFNV,0.51812,1,1.1858
3, YFEV,0.55155,1,1.1857
3, XFLV,0.50138,1,1.2525
3, XFNV,0.56816,1,1.2525
3, XSEV,1.0187,1,1.1523
3, XSLV,0.73504,1,3.2051
3, XFLV,0.51802,1,1.5529
3, XSNV,0.7518,1,1.0689
3, XFEV,0.53478,1,1.0689
3, YFNV,0.50146,1,0.93537
3, XSEV,0.73509,1,1.1692
3, YFLV,0.51808,1,0.95205
3, YFLV,0.50148,1,2.2205
3, YFEV,0.65148,1,0.93538
3, YSNV,0.73512,1,1.0857
3, XSEP,1.0354,1,1.3362
3, XFNP,0.55146,1,0.9357
3, YSLP,0.8018,1,0.83533
3, XFNP,0.51803,1,0.90199
3, YSEP,1.2023,0,1.0689
3, YSLP,0.83507,1,1.169
3, YFLP,0.50128,1,1.1691
3, XSNP,0.91857,1,0.78518
3, YSEP,0.88519,1,1.2859
3, YSNP,0.73505,1,0.98554
3, YFLP,0.50138,1,1.2024
3, XFEP,0.50149,1,1.0189
3, YSEP,0.8352,1,1.436
3, XFNP,0.6016,1,1.069
3, XFLP,0.5014,1,1.119
3, XFLP,0.70168,1,0.90207
3, XFNP,0.70174,1,1.0524
3, YSEP,0.78501,0,0.66838
3, XSNP,1.0188,1,0.91872
3, XSEP,0.65166,1,1.82
3, XFLP,0.55152,1,0.95212
3, YSLP,0.66824,0,1.336
3, XFNP,0.83527,1,1.0355
3, XSEP,1.0688,1,1.119
3, YFNP,0.58483,1,1.0355
3, YFLP,0.50128,1,1.2358
3, XSEP,0.78503,1,1.4028
3, XFEP,0.53477,1,1.0355
3, YSNP,0.80175,1,1.0857
3, YFLP,0.66822,1,1.3192
3, YSNP,0.96871,0,1.553
3, XSLP,0.68499,1,1.87
3, YSEP,0.61815,1,1.3026
3, YSLP,0.80181,1,1.0188
3, YFEP,0.50132,1,1.1191
3, XFNP,0.75167,1,0.83534
3, XSLP,0.80181,1,0.9521
3, XSNP,0.68498,1,0.98548
3, XSEP,0.7851,1,1.6364
3, YFLP,0.53478,1,0.91869
3, XSNP,0.71821,1,0.96874
3, YFEP,0.50129,1,1.1857
3, YSEP,0.73505,1,1.0522
3, XFNP,0.60152,1,2.0536
3, YSLP,0.70155,1,0.96887
3, XFNP,0.55154,1,1.0523
3, XFLP,0.50136,1,0.76843
3, YFEP,0.65159,1,0.9187
3, XFEP,0.56816,1,0.81852
3, XFLP,0.50139,1,0.95214
3, XSNP,0.65157,1,1.0522
3, YFEP,0.73505,1,1.0356
3, YSLP,0.68495,1,0.95199
3, XFNP,0.81839,1,1.0355
3, XSLP,0.88517,0,1.2524
3, YFNP,0.58485,1,1.0021
3, YSEP,0.81849,1,1.386
3, YSEP,0.95213,1,1.069
3, YFLP,0.50131,1,0.91877
3, YFNP,0.66829,1,1.0522
3, XFEV,0.60154,1,1.9204
3, YSNV,0.78518,1,0.90221
3, YFLV,0.63485,1,1.069
3, YSEV,0.61814,1,1.0689
3, YFNV,0.50145,1,0.86852
3, YFLV,0.53479,1,0.93539
3, YSNV,0.66818,1,0.8686
3, XFLV,0.50129,1,1.0856
3, XSEV,0.78497,1,0.88527
3, YFNV,0.68499,1,1.0189
3, YSEV,0.78513,1,0.80188
3, YSLV,0.63485,1,0.88543
3, YFEV,0.50138,1,1.2859
3, XFNV,0.55148,1,0.98541
3, YSLV,0.65164,1,0.83524
3, YSLV,0.68504,1,0.85192
3, XSNV,0.78518,0,0.66832
3, XSEV,0.80186,1,0.86866
3, YFLV,0.50135,1,0.70172
3, YSNV,0.73506,1,0.91877
3, YFEV,0.50132,1,0.93553
3, YSNV,0.73505,1,0.90196
3, YSEV,0.60142,1,1.2024
3, XSLV,0.7518,0,0.51829
3, XFLV,0.5014,1,1.2191
3, XFNV,0.50138,1,1.1691
3, XFEV,0.50139,1,0.73511
3, XSEV,0.63489,1,0.98538
3, XSNV,0.81858,1,0.86866
3, XSLV,0.68503,1,1.3694
3, XFNV,0.50138,1,0.88524
3, XSEV,0.63495,0,0.65171
3, XFLV,0.51794,1,1.0189
3, XFEV,0.50141,1,1.0188
3, XFLV,0.50135,1,1.2859
3, YFNV,0.50133,1,1.4693
3, XSEV,0.63487,1,1.0856
3, YSNV,0.66822,1,0.83521
3, XFLV,0.50137,1,1.4361
3, XSNV,0.65159,1,0.80192
3, XFLV,0.50145,1,0.85208
3, YSEV,0.66812,1,1.2025
3, XSEV,1.4027,1,1.5196
3, YFNV,0.50124,1,1.2525
3, YFLV,0.51804,1,1.2692
3, YSNV,0.68498,1,1.0856
3, YFLV,0.58482,1,1.1522
3, XSEV,1.4025,1,1.6196
3, XFEV,0.50135,1,1.7197
3, YSNV,0.60157,1,1.0356
3, YSLV,0.63489,1,0.96871
3, YFNV,0.5013,1,0.98538
3, YFEV,0.5848,1,1.2193
3, XFLV,0.55144,1,1.1024
3, XFLV,0.53475,1,1.1857
3, XSEV,0.90193,1,1.5695
3, XSNV,0.81861,1,1.7365
3, XSLV,0.71821,1,0.96875
3, YFNV,0.58469,1,0.65168
3, XFEV,0.51806,1,1.0856
4, XFEV,1.119,1,2.8716
4, XSNV,1.1856,1,2.9049
4, YFLV,0.71838,1,1.4195
4, YFEV,0.75159,1,1.4026
4, YFLV,0.61819,1,1.3026
4, YSNV,0.8018,1,1.7698
4, XSLV,0.91855,1,1.3692
4, XFEV,0.80183,1,1.5029
4, XFNV,0.58491,1,1.2358
4, YFLV,0.66838,1,1.3193
4, YSNV,0.68492,1,1.4529
4, XSEV,1.1522,1,1.2192
4, XSEV,0.91866,1,1.386
4, XSNV,0.96867,1,1.0189
4, XFLV,1.1522,1,1.4528
4, XSNV,1.0855,1,1.2693
4, YSLV,0.76837,1,1.3526
4, YSEV,0.73509,1,1.3025
4, YSNV,0.66826,1,1.0856
4, XFEV,0.6015,1,1.3193
4, XSLV,0.85181,1,1.2525
4, YFNV,0.76844,1,1.1858
4, XSLV,0.96878,1,1.1023
4, YFEV,0.66838,1,1.0857
4, YFEV,0.55152,1,1.3027
4, XSLV,1.0187,1,1.1524
4, YSNV,0.78509,0,1.1524
4, YFNV,0.90201,1,1.6866
4, XFLV,1.8033,1,1.3193
4, YSEV,0.91866,1,1.6364
4, XSNV,1.1022,1,1.2024
4, YSEV,0.95196,1,1.4695
4, XFLV,0.73494,1,1.6365
4, XFNV,1.1522,1,1.4528
4, YFLV,0.65162,1,1.3025
4, YFEV,1.0356,1,1.5028
4, YFEV,0.6349,1,1.1357
4, XFNV,0.96863,1,0.75194
4, XFLV,1.5696,1,1.1525
4, YSNV,0.8685,1,1.2691
4, YSEV,0.83512,1,0.96874
4, YFLV,0.6516,1,1.5028
4, YSNV,0.96878,1,0.9688
4, XSLV,0.96864,1,1.1858
4, YSEV,0.78509,1,0.98537
4, YSEV,0.65161,1,0.70178
4, XFLV,0.70165,1,1.1356
4, YFNV,0.63496,1,1.2692
4, YFEV,0.70159,1,0.98554
4, YSNV,0.60147,1,1.0354
4, YFLV,0.66826,1,1.1356
4, XSEV,0.75173,1,0.86868
4, YSNV,0.86853,1,0.80192
4, XSLV,1.0688,1,1.0355
4, XSNV,1.0522,1,1.1691
4, XFEV,1.6028,0,1.0355
4, YFLV,0.6682,1,1.3861
4, XSEV,2.287,1,1.4861
4, XFLV,0.68496,1,1.4195
4, XFNV,1.5027,1,1.3693
4, XFNP,0.83518,1,1.4866
4, XSLP,1.4526,1,1.5697
4, YSEP,0.93535,1,1.5863
4, XSNP,0.85194,1,0.80182
4, YFEP,0.98536,1,1.1691
4, YFLP,0.70166,1,1.2858
4, YSEP,1.4194,1,0.71852
4, XSNP,1.4861,1,0.9188
4, XFLP,0.55145,1,1.3526
4, YFEP,0.66815,1,1.2358
4, YSNP,0.70168,1,0.96892
4, XSLP,1.0355,1,0.80194
4, YFEP,0.53471,1,0.98545
4, YFNP,0.65155,1,0.93539
