subj_idx,stim,rt,response
4, YSNV,0.8685,1
4, YSEV,0.83512,1
4, YFLV,0.6516,1
4, YSNV,0.96878,1
4, XSLV,0.96864,1
4, YSEV,0.78509,1
4, YSEV,0.65161,1
4, XFLV,0.70165,1
4, YFNV,0.63496,1
4, YFEV,0.70159,1
4, YSNV,0.60147,1
4, YFLV,0.66826,1
4, XSEV,0.75173,1
4, YSNV,0.86853,1
4, XSLV,1.0688,1
4, XSNV,1.0522,1
4, XFEV,1.6028,0
4, YFLV,0.6682,1
4, XSEV,2.287,1
4, XFLV,0.68496,1
4, XFNV,1.5027,1
4, XFNP,0.83518,1
4, XSLP,1.4526,1
4, YSEP,0.93535,1
4, XSNP,0.85194,1
4, YFEP,0.98536,1
4, YFLP,0.70166,1
4, YSEP,1.4194,1
4, XSNP,1.4861,1
4, XFLP,0.55145,1
4, YFEP,0.66815,1
4, YSNP,0.70168,1
4, XSLP,1.0355,1
4, YFEP,0.53471,1
4, YFNP,0.65155,1
4, XFLP,0.68511,1
4, XSEP,0.88533,1
4, YFLP,0.56825,1
4, XSNP,1.169,1
4, YFNP,0.58474,1
4, XSLP,1.5362,1
4, XSEP,0.95203,1
4, YFNP,0.6184,1
4, XFEP,0.61814,1
4, YFLP,0.61828,1
4, XSEP,1.0688,1
4, YFNP,0.50127,1
4, YFLP,0.65158,1
4, YSEP,0.90193,1
4, XSNP,1.0188,1
4, YFLP,0.50148,1
4, XSEP,0.86858,1
4, YSNP,0.71837,1
4, YSLP,0.63492,1
4, XFNP,0.76836,1
4, YSEP,0.85185,1
4, YSLP,0.6516,1
4, YFEP,0.60163,1
4, YSNP,0.66829,1
4, YSLP,0.65159,1
4, YFLP,0.70176,1
4, YSEP,0.55134,1
4, XFNP,0.86866,1
4, XFLP,0.70166,1
4, XSNP,0.90191,1
4, XSEP,0.85179,1
4, XSLP,1.4694,1
4, XSNP,1.1189,1
4, YFEP,0.66823,1
4, XSEP,0.93521,1
4, YSLP,1.2692,1
4, YFNP,0.5849,1
4, YFNP,0.50139,1
4, XFLP,0.53484,1
4, YFEP,0.61827,1
4, XFEP,0.73513,1
4, YSLP,0.70165,1
4, YFNP,0.53476,1
4, YFNP,0.50131,1
4, YSLP,0.98539,1
4, XFEP,1.1855,1
4, XFLV,0.80178,1
4, XSNV,1.5527,1
4, YFEV,0.83522,1
4, XSEV,1.3192,1
4, XSLV,1.0187,1
4, YFNV,0.50135,1
4, YFEV,0.60151,1
4, YSLV,0.85187,1
4, YSNV,1.2525,1
4, XSNV,0.93525,1
4, XFEV,1.0522,1
4, YSLV,0.68494,1
4, YSEV,0.61812,1
4, YFNV,0.56812,1
4, YSLV,1.2525,1
4, YFLV,0.5514,1
4, XFNV,1.1355,1
4, YFEV,0.53475,1
4, XSEV,0.85186,1
4, XFNV,0.61816,1
4, YFLV,1.1188,1
4, XSEV,1.169,1
4, YSNV,0.76838,1
4, XFLV,0.61815,1
4, XSEV,0.81846,1
4, XSNV,0.80189,1
4, XFLV,0.55144,1
4, YSNV,0.68506,1
4, YSLV,0.80179,1
4, XSEV,0.98542,1
4, YSLV,0.65164,1
4, XFNV,0.56819,1
4, XFEV,1.0521,1
4, YFNV,0.5014,1
4, XFLV,0.61813,1
4, YSEV,0.6349,1
4, YFNV,0.70163,1
4, XSEV,1.3525,1
4, YSLV,0.56819,1
4, YSNV,0.7517,1
4, YFLV,0.50138,1
4, YSEV,0.68503,1
4, XFLV,0.6015,1
4, YFEV,0.50144,1
4, YFNV,0.50146,1
4, YFEV,0.66842,1
4, YSNV,0.56815,1
4, XFLV,0.51806,1
4, YSNV,0.60155,1
4, XFLV,0.73505,1
4, XFEV,0.80183,1
4, XFEV,0.70182,1
4, XFNV,0.76834,1
4, XSLV,1.0021,1
4, XSEV,0.90196,1
4, YFNV,0.50138,1
4, XSLV,0.85178,1
4, YFEV,0.66827,1
4, YSNV,0.96872,1
4, YSLV,0.81846,1
4, XSEP,1.0021,1
4, YSNP,0.6015,1
4, XSLP,0.90186,1
4, XFLP,0.66831,1
4, YFEP,1.1189,1
4, YSNP,0.60153,1
4, YSEP,0.78507,1
4, YSNP,0.6181,1
4, YFLP,1.2357,1
4, YFLP,0.50142,1
4, XSNP,0.75177,1
4, YSEP,0.61823,1
4, XFLP,0.96868,1
4, XFNP,1.0688,0
4, XFEP,0.86856,1
4, YFEP,0.58486,1
4, YFLP,0.50133,1
4, XSNP,0.93525,1
4, YSNP,1.0689,1
4, YSEP,0.65158,1
4, YSLP,0.61821,1
4, XFEP,0.68503,1
4, YSNP,0.65159,1
4, XFLP,0.60151,1
4, XFEP,0.58478,1
4, YSNP,0.70167,1
4, YSLP,0.58485,1
4, XSEP,1.5194,1
4, XSNP,1.0187,1
4, YSLP,0.93523,1
4, YSEP,0.91863,1
4, YSLP,0.60151,1
4, YFNP,0.53477,1
4, XSNP,0.96856,1
4, XFEP,1.4694,1
4, YSLP,0.68499,1
4, YFLP,0.50145,1
4, YSNP,0.76842,1
4, XFEP,0.78508,1
4, XFEP,0.66822,1
4, XFNP,2.1537,1
4, XFLP,0.5013,1
4, YFLP,1.0353,1
4, XSNP,1.3525,1
4, YFEP,0.55147,1
4, XSLP,0.78523,1
4, XSEP,0.80185,1
4, XSNP,0.91859,1
4, XFEP,0.53476,1
4, XFNP,0.61817,1
4, XFLP,0.51809,1
4, XFNP,0.58481,1
4, YFLP,0.50133,1
4, XSEP,0.86851,1
4, XFLP,0.68486,1
4, YFNP,0.50152,1
4, YFEP,0.65166,1
4, XSLP,0.70163,1
4, XSEP,1.002,1
4, XFNP,0.51808,1
5, XFLV,1.0354,1
5, XFEV,1.1189,1
5, XSNV,1.3525,1
5, XFLV,1.3025,1
5, YSNV,0.91854,1
5, YFEV,0.83513,1
5, XSLV,1.0687,0
5, YSNV,0.93531,1
5, YSEV,2.237,1
5, YSEV,0.85181,1
5, YFLV,0.88523,1
5, XFNV,1.2357,1
5, YFLV,0.95206,1
5, YSNV,0.90191,1
5, YFEV,0.90188,1
5, XSEV,1.2023,1
5, XFNV,0.98539,1
5, YFLV,1.002,1
5, XSLV,1.3192,1
5, XSEV,1.4194,1
5, XSNV,1.0854,1
5, XSNV,1.1021,1
5, XFLV,0.88515,1
5, YSEV,1.3024,1
5, YSLV,0.90187,1
5, XFNV,0.66822,1
5, XSEV,1.2524,1
5, XSNV,1.119,1
5, YFEV,0.71837,1
5, YSLV,1.1355,1
5, XSEV,1.4194,1
5, YSLV,0.86853,1
5, YFNV,0.61823,1
5, XFNV,0.93538,1
5, XFEV,0.7685,1
5, YSLV,1.1356,1
5, XFEV,1.6529,1
5, YFLV,0.6682,1
5, XSNV,1.0856,1
5, XSLV,1.5694,1
5, XFEV,1.2358,1
5, YSNV,0.88518,1
5, XFNV,1.3191,1
5, YSEV,1.6362,0
5, YFLV,0.80188,1
5, YFNV,0.65166,1
5, YSEV,0.96873,1
5, XFLV,0.86855,1
5, XSNV,1.1023,1
5, XSLV,1.4527,1
5, YFEV,0.8185,1
5, YFLV,0.61823,1
5, XFEV,0.76843,1
5, XSNV,0.96861,1
5, XSLV,1.3191,1
5, XFNV,0.88522,1
5, YSEV,0.81842,1
5, XFNV,1.1856,1
5, XFEV,0.65153,1
5, YFLV,0.53472,1
5, YFLP,1.0021,1
5, YFNP,0.75174,1
5, XFEP,0.952,1
5, YSNP,0.93527,1
5, XSEP,0.95208,1
5, YFLP,0.75167,1
5, YSNP,0.78496,1
5, YSLP,0.8018,1
5, XFEP,0.88533,1
5, XSEP,0.86855,1
5, YFLP,0.83512,1
5, YFNP,0.68499,1
5, XFEP,0.71845,1
5, XSLP,0.81858,1
5, XFNP,0.76848,1
5, YFNP,0.55148,1
5, XSEP,0.86847,1
5, YFLP,0.70165,1
5, XFLP,0.68496,1
5, YFEP,0.91856,1
5, XFNP,0.60144,1
5, XSLP,0.85182,1
5, XSNP,1.2357,1
5, YSEP,1.4025,1
5, XSNP,0.71821,1
5, YSLP,0.85185,1
5, YSEP,0.80168,1
5, XSNP,0.9853,1
5, YFLP,0.66838,1
5, XFEP,0.518,1
5, XSLP,1.0855,1
5, YSNP,1.219,1
5, XSEP,1.219,1
5, XFEP,0.60142,1
5, XFLP,0.65159,1
5, XFNP,0.61833,1
5, YSLP,0.70168,1
